Conventions,G,BADC-CSV,1
title,G,Midas-open: Station site metadata for uk-daily-rain-obs
source,G,Met Office MIDAS database
creator,G,Met Office
activity,G,Met Office MIDAS Open: UK Land Surface Stations Data
feature_type,G,point collection
observation_station,G,UK land surface observing network
location,G,UK
collection_name,G,midas-open
collection_version_number,G,dataset-version-202107
date_valid,G,2021-07-15
history,G,Created 2021-07-15
last_revised_date,G,2021-07-15
comments,G,This file contains geographic and temporal information for the stations covered in this version of the uk-daily-rain-obs part of the MIDAS-open collection
comments,G,The temporal range given here is in relation to the data temporal range available for this station within this dataset and may differ from other dates for the given station in other MIDAS-open datasets
comments,G,The geographic location relates to the currently recorded station location to 3 decimal places of latitude and longitude
comments,G,If more precise geographical location information is required please contact the Met Office directly as there may be data management restrictions for stations located on private property
comments,G,Further station-specific details are given in each station folder in the associated capability files
comments,G,For fuller station metadata please use the MIDAS station search tool available from the Centre for Environmental Data Analysis
coordinate_variable,src_id,x
long_name,src_id,The unique MIDAS identifier for the station,1
type,src_id,int
comments,src_id,This is a unique ID ascribed to this station within the MIDAS system. It is used across MIDAS as a way to join related data and metadata together where a site may have used different identifiers for different meteorological reports over time.
long_name,station_name,The name for this station,1
type,station_name,char
long_name,station_file_name,The filename used for this station,1
type,station_file_name,char
comments,station_file_name,The filename is derived from the station name but replacing spaces with - as necessary
long_name,historic_county,the historic county this station is within,1
type,historic_county,char
comments,historic_county,Within MIDAS stations are associated with a set of fixed historic county definitions for the UK and are not amended to reflect modern county boundary changes. For more details refer to the MIDAS documentation.
long_name,station_latitude,The station latitude (WGS84),degrees
type,station_latitude,float
long_name,station_longitude,The station longitude (WGS84),degrees
type,station_longitude,float
long_name,station_elevation,The station elevation,m
type,station_elevation,float
comments,station_elevation,The station elevation in metres above mean sea level
long_name,first_year,first year of data associated with this station in this dataset,year
type,first_year,float
comments,first_year,This relates to the first year of available data within this version of this dataset. The first year may differ for this station within other datasets of Midas-open
long_name,last_year,last year of data associated with this station in this dataset,year
type,last_year,float
comments,last_year,This relates to the last year of data associated with this station in this dataset. It does not indicate whether the station is currently operational and the last year may differ for this station within other datasets of Midas-open
comments,last_year,The first and last year indicate simply the year of first and last available data in this dataset. They do not indicate the availability of data between those dates or availability of data within other datasets of Midas-open
data
src_id,station_name,station_file_name,historic_county,station_latitude,station_longitude,station_elevation,first_year,last_year
08231,HUNTSHAM,huntsham,devon,50.953,-3.438,237,2006,2020
00042,ACHANY,achany,sutherland,57.982,-4.422,85,1961,1971
00043,LAIRG NO 2,lairg-no-2,sutherland,58.019,-4.407,91,1971,2000
00044,ALTNAHARRA NO 2,altnaharra-no-2,sutherland,58.288,-4.442,81,1993,1997
00045,TORRISDALE,torrisdale,sutherland,58.523,-4.273,27,1977,1991
00046,STRATHY 1,strathy-1,sutherland,58.520,-4.010,38,1961,1976
00048,"KINBRACE, HATCHERY",kinbrace-hatchery,sutherland,58.230,-3.922,103,1979,2000
00049,ACHENTOUL NO 2,achentoul-no-2,sutherland,58.293,-3.924,137,1966,1971
00050,STRATHY EAST,strathy-east,sutherland,58.561,-3.992,68,1993,2020
00051,KNEEP,kneep,western-isles,58.222,-6.948,5,1983,1988
00052,AULTBEA NO 2,aultbea-no-2,ross-and-cromarty,57.859,-5.633,11,1990,1997
00054,STORNOWAY AIRPORT,stornoway-airport,western-isles,58.213,-6.319,15,1968,1997
00056,BALMACARA HOUSE,balmacara-house,ross-and-cromarty,57.286,-5.652,4,1961,1978
00058,DIABAIG,diabaig,ross-and-cromarty,57.579,-5.692,60,1977,2012
00059,GLEN TORRIDON,glen-torridon,ross-and-cromarty,57.551,-5.460,55,1968,1971
00060,POOLEWE,poolewe,ross-and-cromarty,57.774,-5.597,6,1961,2020
00061,RUDH RE,rudh-re,ross-and-cromarty,57.858,-5.813,16,1966,1977
00062,"ACHNASHELLACH, LAIR",achnashellach-lair,ross-and-cromarty,57.484,-5.320,40,1982,1985
00063,INVERPOLLY,inverpolly,ross-and-cromarty,58.068,-5.267,14,1963,1998
00064,PLOCKTON,plockton,ross-and-cromarty,57.337,-5.653,12,1963,2019
00065,ACHNASHELLACH,achnashellach,ross-and-cromarty,57.490,-5.275,67,1936,1982
00066,KINLOCHEWE,kinlochewe,ross-and-cromarty,57.613,-5.306,25,1953,2005
00067,LOCH GLASCARNOCH,loch-glascarnoch,ross-and-cromarty,57.725,-4.895,269,1992,1997
00068,KNOCKANROCK,knockanrock,ross-and-cromarty,58.031,-5.072,244,1968,1998
00069,CLUANIE INN,cluanie-inn,ross-and-cromarty,57.156,-5.181,223,1961,1996
00070,STRATHCONON,strathconon,ross-and-cromarty,57.555,-4.794,107,1968,1981
00071,CRAIGDARROCH,craigdarroch,ross-and-cromarty,57.578,-4.607,38,1972,1980
00072,CONTIN,contin,ross-and-cromarty,57.575,-4.587,29,1970,1975
00074,DINGWALL,dingwall,ross-and-cromarty,57.600,-4.447,7,1983,2006
00075,CRANNICH,crannich,ross-and-cromarty,57.752,-4.272,197,1985,1989
00076,FORTROSE,fortrose,ross-and-cromarty,57.574,-4.093,5,1926,1994
00077,INVERGORDON HARBOUR,invergordon-harbour,ross-and-cromarty,57.687,-4.167,3,1994,1997
00078,INVERGORDON,invergordon,ross-and-cromarty,57.703,-4.158,15,1978,1982
00079,TAIN RANGE,tain-range,ross-and-cromarty,57.819,-3.967,4,1992,1997
00082,BARRA (W I),barra-w-i,western-isles,57.025,-7.449,3,1997,2006
00083,LOCHBOISDALE,lochboisdale,western-isles,57.155,-7.316,6,1990,2003
00084,BENBECULA AIRPORT,benbecula-airport,western-isles,57.475,-7.371,6,1967,1996
00085,SCALPAY,scalpay,western-isles,57.872,-6.699,18,1973,1995
00087,WATERSTEIN,waterstein,inverness-shire,57.436,-6.769,83,1990,2003
00089,RHUM: KINLOCH,rhum-kinloch,inverness-shire,57.014,-6.282,5,1961,2010
00090,SKYE: PRABOST,skye-prabost,inverness-shire,57.467,-6.305,67,1961,1989
00091,DUNTULM,duntulm,inverness-shire,57.661,-6.363,90,1961,1973
00092,INVERAILORT,inverailort,inverness-shire,56.872,-5.670,2,1971,2015
00093,HEASTE,heaste,inverness-shire,57.189,-5.894,100,1973,1984
00094,BROADFORD:ISLE OF SKYE,broadford-isle-of-skye,inverness-shire,57.239,-5.895,8,1988,1991
00095,EILANREACH,eilanreach,inverness-shire,57.199,-5.630,8,1968,2004
00096,ONICH,onich,inverness-shire,56.720,-5.224,15,1926,1995
00097,FORT WILLIAM NO 4,fort-william-no-4,inverness-shire,56.829,-5.076,20,1987,1991
00099,FORT WILLIAM NO 3,fort-william-no-3,inverness-shire,56.837,-5.078,8,1961,1973
00101,CORPACH,corpach,inverness-shire,56.839,-5.149,8,1967,1980
00102,KILTARLITY,kiltarlity,inverness-shire,57.427,-4.497,75,1985,2011
00104,LOCH OICH,loch-oich,inverness-shire,57.044,-4.799,37,1974,1977
00105,TULLOCH BRIDGE,tulloch-bridge,inverness-shire,56.867,-4.708,249,1990,1997
00107,FORT AUGUSTUS,fort-augustus,inverness-shire,57.144,-4.677,21,1914,1997
00109,CANNICH,cannich,inverness-shire,57.292,-4.828,107,1961,1967
00110,LENTRAN,lentran,inverness-shire,57.459,-4.373,146,1974,2009
00111,DALWHINNIE NO 2,dalwhinnie-no-2,inverness-shire,56.940,-4.238,351,1973,2007
00112,LAGGANLIA,lagganlia,inverness-shire,57.111,-3.891,250,1971,1988
00113,AVIEMORE,aviemore,inverness-shire,57.206,-3.828,228,1983,2002
00114,DRUMNADROCHIT,drumnadrochit,inverness-shire,57.328,-4.486,53,1990,2009
00115,INVERNESS,inverness,inverness-shire,57.486,-4.222,4,1957,2013
00116,DALCROSS,dalcross,inverness-shire,57.542,-4.062,11,1977,1994
00118,CAIRNGORM CHAIRLIFT,cairngorm-chairlift,inverness-shire,57.133,-3.669,663,2007,2009
00119,COIRE CAS SHEILING,coire-cas-sheiling,inverness-shire,57.128,-3.662,762,1965,1973
00120,CAIRNGORM,cairngorm,inverness-shire,57.124,-3.645,1090,1965,1970
00121,ACHNAGOICHAN,achnagoichan,inverness-shire,57.152,-3.798,305,1961,1984
00122,GLENMORE LODGE,glenmore-lodge,inverness-shire,57.164,-3.678,337,1961,1980
00123,TOMATIN,tomatin,inverness-shire,57.339,-4.007,311,1973,1992
00124,MOY,moy,inverness-shire,57.381,-4.056,305,1961,1981
00125,"TOMATIN, FREEBURN",tomatin-freeburn,inverness-shire,57.345,-4.003,290,1993,2002
00126,NAIRN,nairn,nairnshire,57.587,-3.893,8,1961,1998
00127,FORRES NO 2,forres-no-2,moray-in-grampian-region,57.615,-3.610,5,1976,2002
00128,"GRANTOWN-ON-SPEY, GRAMMAR SCHOOL",grantown-on-spey-grammar-school,moray-in-highland-region,57.334,-3.600,218,1993,2000
00129,"GRANTOWN-ON-SPEY, MONIACK",grantown-on-spey-moniack,moray-in-highland-region,57.327,-3.616,219,1961,1962
00130,GRANTOWN-ON-SPEY,grantown-on-spey,moray-in-highland-region,57.335,-3.606,220,1981,2007
00131,FORRES,forres,moray-in-grampian-region,57.608,-3.597,50,1961,1976
00132,KINLOSS,kinloss,moray-in-grampian-region,57.645,-3.563,5,1972,1999
00133,ALDROUGHTY,aldroughty,moray-in-grampian-region,57.645,-3.379,30,1975,2000
00134,ROTHES,rothes,moray-in-grampian-region,57.532,-3.196,61,1982,1995
00135,ELGIN,elgin,moray-in-grampian-region,57.639,-3.298,28,1961,1965
00136,ELGIN NO 2,elgin-no-2,moray-in-grampian-region,57.650,-3.293,15,1966,1982
00137,LOSSIEMOUTH,lossiemouth,moray-in-grampian-region,57.711,-3.323,7,1961,2002
00138,GORDON CASTLE,gordon-castle,banffshire,57.621,-3.090,32,1890,1975
00139,CLASHNOIR,clashnoir,banffshire,57.282,-3.287,338,1975,1981
00140,GLENLIVET,glenlivet,banffshire,57.354,-3.345,213,1964,2008
00141,KEITH,keith,banffshire,57.553,-2.949,106,1973,1996
00142,"BANFF, GOLF CLUB",banff-golf-club,banffshire,57.661,-2.521,15,1988,2020
00143,BANFF NO 2,banff-no-2,banffshire,57.671,-2.523,24,1960,1988
00144,"CORGARFF, CASTLE LODGE",corgarff-castle-lodge,aberdeenshire,57.165,-3.230,400,1985,2000
00147,BRAEMAR,braemar,aberdeenshire,57.006,-3.398,339,1961,2005
00148,BALMORAL,balmoral,aberdeenshire,57.037,-3.220,283,1918,2013
00149,BALLATER FIELD CENTRE,ballater-field-centre,aberdeenshire,57.047,-3.043,200,1989,1999
00150,ABOYNE NO 2,aboyne-no-2,aberdeenshire,57.076,-2.841,140,1992,1997
00151,DINNET,dinnet,aberdeenshire,57.109,-2.916,177,1963,1982
00152,LOGIE COLDSTONE,logie-coldstone,aberdeenshire,57.127,-2.937,185,1961,1962
00153,FINZEAN,finzean,kincardineshire,57.016,-2.670,133,1982,1988
00154,ALFORD NO 2,alford-no-2,aberdeenshire,57.240,-2.686,137,1982,1983
00155,LEITH HALL,leith-hall,aberdeenshire,57.356,-2.766,180,1987,2000
00156,GARTLY,gartly,aberdeenshire,57.379,-2.795,146,1968,1987
00157,HUNTLY,huntly,aberdeenshire,57.450,-2.786,122,1961,1966
00158,INVERURIE NO 2,inverurie-no-2,aberdeenshire,57.274,-2.368,54,1966,1992
00159,FYVIE CASTLE,fyvie-castle,aberdeenshire,57.443,-2.390,55,1961,2001
00160,CRAIBSTONE,craibstone,aberdeenshire,57.187,-2.215,102,1961,2010
00161,DYCE,dyce,aberdeenshire,57.205,-2.205,65,1968,1998
00163,"ABERDEEN, MANNOFIELD RESR",aberdeen-mannofield-resr,aberdeenshire,57.128,-2.140,52,1912,2008
00164,HILTON (ABERDEENSHIRE),hilton-aberdeenshire,aberdeenshire,57.165,-2.129,70,1963,1965
00165,UDNY,udny,aberdeenshire,57.299,-2.158,107,1961,1968
00166,FRASERBURGH,fraserburgh,aberdeenshire,57.697,-2.003,18,1966,1988
00167,CULTERTY NO 2,culterty-no-2,aberdeenshire,57.325,-2.003,3,1975,1999
00168,FOREHILL,forehill,aberdeenshire,57.506,-1.844,41,1977,2011
00169,RATTRAY HEAD,rattray-head,aberdeenshire,57.614,-1.846,26,1961,1968
00171,FETTERCAIRN (CRAIGMOSTON),fettercairn-craigmoston,kincardineshire,56.868,-2.566,95,1984,1987
00173,INCHMARLO,inchmarlo,kincardineshire,57.060,-2.542,80,1990,2005
00174,STRACHAN,strachan,kincardineshire,57.015,-2.502,120,1961,1971
00175,BANCHORY,banchory,kincardineshire,57.053,-2.509,94,1977,1982
00176,DURRIS,durris,kincardineshire,57.032,-2.404,107,1988,2020
00177,INVERBERVIE NO 2,inverbervie-no-2,kincardineshire,56.852,-2.266,134,1992,1997
00178,STONEHAVEN,stonehaven,kincardineshire,56.969,-2.207,4,1961,1985
00179,STONEHAVEN NO 2,stonehaven-no-2,kincardineshire,56.946,-2.212,85,1985,2000
00180,MUCHALLS,muchalls,kincardineshire,57.018,-2.170,64,1961,1966
00181,MYLNEFIELD,mylnefield,angus,56.456,-3.070,26,1954,2020
00182,AUCHTERHOUSE,auchterhouse,angus,56.538,-3.063,232,1961,1965
00183,DUNDEE,dundee,angus,56.470,-2.940,45,1961,1996
00184,GLAMIS CASTLE NO 2,glamis-castle-no-2,angus,56.625,-3.000,62,1961,1981
00185,FORFAR NO 3,forfar-no-3,angus,56.683,-2.929,91,1985,1994
00186,FORFAR NO 2,forfar-no-2,angus,56.657,-2.775,67,1981,1983
00187,WHITEHILLOCKS,whitehillocks,angus,56.906,-2.907,258,1963,2013
00188,BUDDON NESS,buddon-ness,angus,56.468,-2.750,5,1961,1973
00189,CARNOUSTIE NO 2,carnoustie-no-2,angus,56.507,-2.725,27,1972,1978
00191,ARBROATH,arbroath,angus,56.561,-2.573,29,1914,1994
00192,USAN,usan,angus,56.681,-2.452,47,1965,1979
00193,MONTROSE,montrose,angus,56.746,-2.481,55,1911,1992
00194,CRIANLARICH,crianlarich,perthshire-in-central-region,56.419,-4.659,174,1974,1975
00195,TYNDRUM NO 3,tyndrum-no-3,perthshire-in-central-region,56.419,-4.661,168,1990,2007
00197,ABERFOYLE,aberfoyle,perthshire-in-central-region,56.174,-4.369,28,1987,2001
16579,BOULTENSTONE OUTDOOR CENTRE,boultenstone-outdoor-centre,aberdeenshire,57.185,-2.976,300,1995,1999
00199,LOCH VENACHAR,loch-venachar,perthshire-in-central-region,56.230,-4.263,84,1961,2006
00200,STRATHYRE,strathyre,perthshire-in-central-region,56.321,-4.328,130,1961,1968
00201,BALQUHIDDER NO 2,balquhidder-no-2,perthshire-in-central-region,56.355,-4.397,136,1982,1992
00203,CALLANDER,callander,perthshire-in-central-region,56.242,-4.217,70,1961,1965
00204,CALLANDER NO 2,callander-no-2,perthshire-in-central-region,56.245,-4.206,107,1966,1982
00205,ARDTALNAIG,ardtalnaig,perthshire-in-tayside-region,56.528,-4.112,130,1961,2018
00206,DUNBLANE SECONDARY SCHOOL,dunblane-secondary-school,perthshire-in-central-region,56.189,-3.977,80,1970,1975
00207,"DUNBLANE, OLD DOUNE ROAD",dunblane-old-doune-road,perthshire-in-central-region,56.187,-3.974,70,1961,1965
00208,DRUMMOND CASTLE,drummond-castle,perthshire-in-tayside-region,56.338,-3.877,113,1969,2020
00211,GLENEAGLES,gleneagles,perthshire-in-tayside-region,56.281,-3.749,152,1964,1976
00212,STRATHALLAN AIRFIELD,strathallan-airfield,perthshire-in-tayside-region,56.326,-3.729,35,1992,1997
00213,PITLOCHRY,pitlochry,perthshire-in-tayside-region,56.709,-3.725,144,1961,1975
00214,FASKALLY,faskally,perthshire-in-tayside-region,56.718,-3.770,94,1953,2020
00215,FEALAR LODGE,fealar-lodge,perthshire-in-tayside-region,56.901,-3.629,560,1995,1996
00216,DUNNING,dunning,perthshire-in-tayside-region,56.308,-3.574,76,1961,1965
00217,PERTH CREMATORIUM,perth-crematorium,perthshire-in-tayside-region,56.412,-3.478,30,1980,1982
00218,ASHINTULLY CASTLE,ashintully-castle,perthshire-in-tayside-region,56.735,-3.471,341,1967,1982
00219,KINDROGAN,kindrogan,perthshire-in-tayside-region,56.748,-3.547,259,1972,2019
00220,STRATHALLAN SCHOOL,strathallan-school,perthshire-in-tayside-region,56.350,-3.474,41,1967,2007
00221,PERTH,perth,perthshire-in-tayside-region,56.399,-3.458,23,1915,1979
00222,INVERALMOND,inveralmond,perthshire-in-tayside-region,56.416,-3.462,8,1963,1967
00223,PERTH AERODROME,perth-aerodrome,perthshire-in-tayside-region,56.437,-3.372,118,1968,2000
00224,BLAIRGOWRIE,blairgowrie,perthshire-in-tayside-region,56.579,-3.345,70,1961,1980
00225,GLENSHEE LODGE,glenshee-lodge,perthshire-in-tayside-region,56.799,-3.421,335,1961,1967
00226,KINROSS,kinross,kinross-shire,56.214,-3.413,116,1967,2020
00227,PITREAVIE NO 2,pitreavie-no-2,fife,56.048,-3.419,40,1966,1985
00228,BRAEFOOT BAY,braefoot-bay,fife,56.043,-3.320,43,1986,2008
00229,BALLINGRY,ballingry,fife,56.160,-3.322,130,1961,1969
00230,KIRKCALDY,kirkcaldy,fife,56.108,-3.179,32,1961,1976
00231,"GLENROTHES, GLENWOOD",glenrothes-glenwood,fife,56.197,-3.210,117,1970,1976
00232,"CUPAR, ELMWOOD AG COLLEGE",cupar-elmwood-ag-college,fife,56.319,-3.032,42,1973,2018
00233,"CUPAR, SUGAR FACTORY",cupar-sugar-factory,fife,56.325,-2.991,25,1961,1972
00234,LUNDIN LINKS,lundin-links,fife,56.210,-2.958,9,1961,1968
00235,LEUCHARS,leuchars,fife,56.377,-2.862,10,1921,1997
00237,BELLISTON,belliston,fife,56.239,-2.796,82,1961,2017
00238,ST ANDREWS,st-andrews,fife,56.340,-2.806,18,1961,1984
00240,BLACKBURN S WKS,blackburn-s-wks,west-lothian-in-lothian-region,55.872,-3.589,131,1969,1978
00241,LIVINGSTON NO 2,livingston-no-2,west-lothian-in-lothian-region,55.877,-3.544,125,1970,1995
00242,BANGOUR,bangour,west-lothian-in-lothian-region,55.924,-3.573,195,1979,1997
00244,BALERNO,balerno,midlothian-in-lothian-region,55.871,-3.365,213,1961,1966
00245,MIDCALDER,midcalder,midlothian-in-lothian-region,55.892,-3.516,122,1961,1962
00246,TURNHOUSE,turnhouse,midlothian-in-lothian-region,55.951,-3.348,35,1961,1997
00247,"EDINBURGH, EAST CRAIGS",edinburgh-east-craigs,midlothian-in-lothian-region,55.948,-3.307,61,1961,2006
00248,DAVIDSONS MAINS,davidsons-mains,midlothian-in-lothian-region,55.968,-3.285,61,1961,1970
00249,PENICUIK,penicuik,midlothian-in-lothian-region,55.823,-3.228,185,1946,2020
00250,BUSH HOUSE,bush-house,midlothian-in-lothian-region,55.860,-3.208,184,1961,1999
00251,"EDINBURGH, BLACKFORD HILL",edinburgh-blackford-hill,midlothian-in-lothian-region,55.923,-3.191,134,1896,2003
00252,LIBERTON,liberton,midlothian-in-lothian-region,55.922,-3.165,58,1961,1964
00253,"EDINBURGH, ROYAL BOTANIC GARDEN NO 2",edinburgh-royal-botanic-garden-no-2,midlothian-in-lothian-region,55.967,-3.212,28,1939,2011
00254,MIDDLETON CAMP,middleton-camp,midlothian-in-lothian-region,55.813,-3.010,225,1961,1976
00255,ROSLIN,roslin,midlothian-in-lothian-region,55.860,-3.163,152,1972,1980
00257,PATHHEAD,pathhead,east-lothian,55.885,-2.940,131,1974,1989
00259,NORTH BERWICK NO 2,north-berwick-no-2,east-lothian,56.051,-2.724,46,1963,1965
00260,NORTH BERWICK,north-berwick,east-lothian,56.058,-2.716,16,1926,1963
00262,NUNRAW ABBEY,nunraw-abbey,east-lothian,55.921,-2.652,197,1971,2020
00263,HADDINGTON,haddington,east-lothian,55.960,-2.751,41,1977,2001
00264,DUNBAR,dunbar,east-lothian,56.004,-2.528,23,1930,2020
00265,MERTOUN,mertoun,berwickshire,55.581,-2.562,69,1961,1970
00266,LAUDER,lauder,berwickshire,55.730,-2.764,183,1961,1971
00267,BLYTHE,blythe,berwickshire,55.737,-2.662,262,1966,2014
00268,CHARTERHALL,charterhall,berwickshire,55.709,-2.385,112,1992,1997
00269,MARCHMONT,marchmont,berwickshire,55.728,-2.411,152,1871,1981
00270,WHITCHESTER,whitchester,berwickshire,55.823,-2.447,255,1937,1989
00271,LEITHHOLM,leithholm,berwickshire,55.701,-2.339,64,1971,1978
00273,STANHOPE FARM,stanhope-farm,peebleshire,55.552,-3.392,226,1961,1990
00274,BLYTH BRIDGE,blyth-bridge,peebleshire,55.703,-3.368,253,1961,2006
00275,WEST LINTON,west-linton,peebleshire,55.754,-3.356,244,1914,1995
00276,PEEBLES,peebles,peebleshire,55.642,-3.196,197,1961,1962
00278,GLENTRESS,glentress,peebleshire,55.646,-3.139,165,1961,1998
00279,BOWHILL,bowhill,selkirkshire,55.541,-2.906,168,1954,2020
00281,GALASHIELS,galashiels,selkirkshire,55.621,-2.828,198,1967,2010
00282,WAUCHOPE,wauchope,roxburghshire,55.380,-2.653,155,1961,1978
00283,BONCHESTER BRIDGE,bonchester-bridge,roxburghshire,55.396,-2.654,146,1976,1984
00284,GREYCROOK,greycrook,roxburghshire,55.567,-2.637,76,1972,2004
00285,CARTERHOUSE,carterhouse,roxburghshire,55.358,-2.519,308,1989,1997
00286,FLOORS CASTLE,floors-castle,roxburghshire,55.603,-2.468,59,1941,2020
00287,KELSO,kelso,roxburghshire,55.604,-2.421,34,1967,2004
00288,SOURHOPE,sourhope,roxburghshire,55.475,-2.247,221,1961,2005
00289,KIELDER CASTLE,kielder-castle,northumberland,55.234,-2.580,201,1961,2013
00290,WARK,wark,northumberland,55.075,-2.393,219,1993,1998
00291,STONEHAUGH NO 2,stonehaugh-no-2,northumberland,55.078,-2.327,201,1961,1984
00292,BELLINGHAM,bellingham,northumberland,55.214,-2.303,258,1909,1964
00293,REDESDALE,redesdale,northumberland,55.253,-2.263,235,1970,2007
00295,HIGH HAYRAKE,high-hayrake,northumberland,54.825,-2.260,400,1993,1995
00296,HAYDON BRIDGE NO 2,haydon-bridge-no-2,northumberland,54.976,-2.253,82,1938,2000
00297,CORBRIDGE,corbridge,northumberland,54.980,-2.020,49,1961,1976
00298,LANTON,lanton,northumberland,55.575,-2.117,59,1993,1996
00299,LETHAMHILL FARM,lethamhill-farm,northumberland,55.644,-2.103,76,1976,1978
00300,WALLINGTON,wallington,northumberland,55.154,-1.945,150,1994,2020
00301,CHESWICK,cheswick,northumberland,55.710,-1.959,30,1993,2001
00302,BERWICK-ON-TWEED,berwick-on-tweed,northumberland,55.769,-1.998,23,1924,1974
00303,BERWICK-UPON-TWEED,berwick-upon-tweed,northumberland,55.754,-2.033,42,1994,1997
00304,LONGFRAMLINGTON,longframlington,northumberland,55.301,-1.806,158,1990,2000
00307,NEWCASTLE WEATHER CENTRE,newcastle-weather-centre,tyne-and-wear,54.977,-1.598,52,1995,1997
00310,"MORPETH, COCKLE PARK",morpeth-cockle-park,northumberland,55.213,-1.688,95,1897,2014
00311,ACKLINGTON,acklington,northumberland,55.300,-1.647,42,1961,1975
